F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
6.57,2,1.42,119.73,-3.34,Low,7.83,-4506.63,-16448.13,-214.64,6.96,-29.12,6,USA,3835.29,660.06,288.54
17.64,2,0.7,102.48,-9.77,High,2.43,-3326.25,-15865.93,-199.36,9.2,-30.42,4,UK,4130.94,683.22,1075.23
6.06,1,14.72,249.6,-2.26,Very high,4.29,-2206.02,-11705.56,-149.86,12.97,-21.58,16,USA,5305.89,769.83,1722.09
2.07,3,0,149.85,-0.99,High,3.5,-2798.73,-13815.7,-219.5,5.78,-38.1,10,Europe,2149.47,720.63,3376.78
18.99,5,1.92,26.67,-5.62,Low,3.1,-4357.92,-18105.59,-208.86,7.38,-7.06,6,Europe,5115.03,789.96,0
1.29,6,0.08,-30.09,-3.64,High,1.38,-2365.23,-23892.67,-128.54,6.42,-38.76,6,Europe,5417.37,725.52,0
25.26,6,117.16,257.1,-4.77,Medium,4.97,-3014.25,-12813.49,-188.8,5.04,-28.62,14,Rest,4422.06,666.06,2288.95
13.35,5,13.24,157.14,-7.17,Very low,0.95,-3690.6,-14920.12,-190.82,4.9,-7.8,10,Europe,3704.55,700.32,73.27
17.07,5,8.78,77.79,-6.01,High,4.17,-2752.56,-16147.38,-315.08,9.9,-41.2,12,Europe,4193.85,587.97,2459.82
6.42,4,3.68,122.37,-2.69,Medium,3.3,-4007.7,-22105.43,-161.04,8.49,-26.64,10,Europe,4369.56,662.07,112.05
7.62,6,8.38,134.31,-3.33,Very low,12.07,-2854.29,-18924.73,-133.82,7.17,-32.12,2,USA,4340.79,505.23,376.97
5.94,4,102.14,157.11,-5.1,Very low,0.68,-5182.71,-11041.75,-265.62,6.63,-20.06,6,USA,3918.9,920.13,0
5.88,7,0.6,32.31,0.54,High,4.86,-2892.81,-15421.18,-154.64,7.77,-26.18,10,UK,5100.21,796.23,0
12.81,3,8.28,102.72,-5.28,Very high,3.48,-4471.02,-17926.64,-226.34,7.21,-29.24,8,Europe,5002.23,712.92,302.43
14.64,5,0.64,134.1,-2.54,High,11.29,-3897.72,-15685.45,-172,5.48,-40.82,8,USA,6399.69,745.98,528.88
15.78,5,0.38,29.52,-3.53,Medium,1.08,-3489.9,-16350.19,-265.62,10.27,-29.16,6,Europe,4986.12,210.9,0
4.05,1,76.44,165.18,-4.79,High,1.95,-4279.83,-11416.6,-195.44,2.87,-24.34,6,Europe,4611.21,860.64,190.31
32.04,5,1.16,258.27,-2.16,Medium,1.59,-2828.01,-13365.58,-210.22,9.76,-28.02,12,Rest,5298.18,812.04,1930.62
0.12,3,0.32,7.38,-6.58,Medium,0.84,-3371.07,-27959.24,-149.34,7.41,-21.6,6,USA,3843.3,715.17,0
4.95,3,0.04,164.55,-6.78,High,2.75,-1134.39,-16389.92,-332.58,5.04,-29.7,14,USA,3607.8,710.61,1395.28
16.5,8,0.16,166.8,-3.02,Very low,7.5,-1990.74,-15169.66,-238.6,7.52,-16.54,6,USA,3547.89,721.74,659.43
7.53,7,2.8,126.03,0.13,Very low,9.34,-3718.35,-15270.51,-170.92,6.9,-29.84,8,UK,5444.88,1014.6,0
22.59,3,0.04,203.61,-2.82,Very high,1.84,-3993.66,-10013.21,-154.16,7.24,-39.1,8,Rest,5066.79,568.86,1272.34
4.47,6,2.36,125.22,-2.43,Low,5.02,-3868.2,-17547.58,-196.78,4.85,-31.68,4,USA,3219.42,744.15,0
2.31,5,0.36,25.77,0.34,High,4.21,-2774.13,-17639.92,-156.3,7.66,-34.28,6,Europe,5225.49,714.87,0
22.56,4,0.02,-58.26,-8.31,Very low,2.71,-3365.76,-16506.35,-266.9,14.5,-29.56,10,Europe,4060.98,854.7,0
10.98,4,4.52,252.9,-8.59,Very high,1.84,-2542.44,-20616.85,-317.36,2.14,-41.58,6,Europe,4245.96,715.29,3176.68
13.8,6,0.36,207.63,0.19,Very high,4.69,-1491.51,-12853.52,-126.36,7.63,-21.32,6,Rest,4438.59,665.16,1910.08
14.07,4,0.04,-97.08,-2.61,Very high,2.52,-4146.96,-20739.11,-175.06,7.16,-35.6,10,Rest,4222.29,1023.51,0
3.66,2,0.08,150.48,1.6,Very low,3.94,-4133.61,-17165.08,-107.88,8.01,-28.02,6,Rest,4266.15,766.56,0
12.51,4,0.74,359.76,-2.55,Low,2.81,-3651.66,-16638.33,-261.14,7.84,-50.98,6,USA,5176.11,740.61,541.39
24.33,5,0.1,130.08,-4.51,High,4.35,-4095.21,-28587.8,-154.92,9.15,-38.2,10,Europe,3948.66,764.79,2617.07
3.63,3,1.02,110.19,-1.9,Low,3,-4354.71,-14829.08,-273.64,7.05,-21.28,0,USA,5696.82,804.12,0
20.88,0,4.9,220.74,-12.1,Low,2.93,-2464.56,-13693.18,-193.42,12.14,-31.56,10,USA,3703.71,687.78,1604.24
13.53,2,1.34,114.24,-5.09,Very low,3.62,-4524.36,-19720.55,-223.98,6.98,-24.68,8,Rest,3876.09,811.14,229.03
8.4,4,0.1,109.98,-6.67,Very high,3.3,-2775.18,-16806.03,-210.48,10.3,-31.16,10,USA,4113.21,606.78,558.15
7.5,3,0.3,14.04,-8.73,Very low,1.5,-3065.85,-10004.4,-165.78,7.95,-37.28,14,Europe,5950.74,785.49,0
20.76,4,0.2,135.66,-5.08,High,2.93,-3374.16,-19907.22,-150.68,4.93,-33,8,Europe,5448.57,862.29,1172.01
29.46,2,0.06,220.26,-6.04,Very high,1.19,-5080.14,-19144.37,-158.44,9.77,-53.3,4,Europe,3434.49,465.51,3102.52
7.65,5,2.4,126.78,-3.96,Very low,0.73,-4717.44,-18747,-132.08,7.84,-20.04,8,USA,3392.1,803.49,0
28.74,4,1.28,94.2,-9.51,High,2.5,-3264.33,-22214.78,-210.44,14.54,-11.58,4,Europe,4353.54,792.6,1555.64
4.23,4,1.64,80.46,-1.3,Very low,3.44,-5326.17,-16239.6,-209.24,4.52,-21.88,10,USA,6152.73,686.04,0
14.97,4,0.06,59.16,-1.84,Medium,5.25,-4026.63,-12124.51,-130.08,6.74,-23.88,6,UK,3195.42,755.04,506.55
14.46,3,1.6,46.47,-1.94,High,7.86,-2943.6,-19027.68,-102.72,6.13,-35.6,6,Europe,4125.06,681.6,2713.38
23.1,2,0,85.17,-0.68,High,2.59,-3698.79,-19468.45,-321.32,11.25,-19.28,12,USA,4170.27,615,756.11
7.83,2,481.9,94.11,-4.23,Very low,2.51,-3831.27,-19212.62,-192.58,8.97,-14.56,12,Rest,5291.25,726.93,0
7.95,3,0.5,171.12,-8.23,Medium,5.39,-3665.85,-15676.57,-125.4,6.96,-40.72,0,UK,4758.21,597.21,0
9.09,2,2.72,132.48,-2.22,Medium,2.44,-1576.62,-14712.22,-338.76,10.3,-28.08,6,Rest,4169.52,726.81,1248.35
10.68,5,0.94,-103.35,0.21,Medium,3,-5219.52,-22597.99,-133.94,13.15,-27.48,8,USA,5585.52,1004.73,0
21.75,6,0.02,265.44,-3,High,10.1,-2683.2,-17833.62,-116.12,5.8,-23.36,6,UK,3560.22,625.74,2959.77
32.28,6,6.72,21.48,-3.6,Very high,7.02,-4520.01,-1638.83,-96.98,5.16,-33.12,10,Europe,2670.81,652.65,3300.84
16.65,6,18.3,157.11,-10.12,Very low,4.91,-4082.97,-15341.94,-247.76,7.85,-35.2,16,USA,4198.17,618.21,373.56
2.67,4,0.9,74.67,-3.92,Low,0.9,-3102.78,-19572.68,-253.74,5.46,-18.16,6,Rest,5641.38,734.94,0
11.43,3,44.1,163.32,-1.6,High,4.2,-3838.47,-13040.19,-203.72,6.45,-30.06,6,UK,4919.73,512.67,728.66
5.46,3,1.92,247.95,-0.74,Low,4.19,-2550.63,-16840.44,-181.54,6.27,-20.08,4,Rest,4899.48,634.32,908.92
25.71,6,0.76,166.23,-4,Very high,4.39,-3868.89,-19310.92,-250.14,5.5,-27.12,4,Rest,6352.2,505.56,471.76
